qua?	par où?
qua	par où
quacumque	par où que (l'on passe)
quaerere, o, quaesi(v)i, situm	chercher; chercher à savoir, demander (à: ab ou ex + abl.)
quaeso, quaesumus	je t'en prie, nous vous en prions
quaestio, onis, f.	la recherche; l'interrogatoire; la torture/l'enquête
quaestor, oris, m.	le questeur
quaestus, us, m.	le gain; le trafic (commerce)
qualis, is, e? ou qualis!	quel? (=de quelle qualité?); quel!
qualis... talis	tel... tel
quam? ou quam!	combien? combien! (avec idée d'intensité)
quam celerrime	le plus vite possible
quam primum	le plus tôt possible, au plus tôt
quamdiu?	combien de temps?
quamdiu + ind.	aussi longtemps que
quamobrem?	pourquoi?
quamobrem	c'est pourquoi/aussi (+ inversion)
quamquam (quanquam)	d'ailleurs; et pourtant
quamquam (quanquam) + ind.	quoique, bien que
quamvis + subj.	quelque... que; quoique
quando?	quand?
quando + ind.	puisque
quanto? ou quanto! (devant les comparatifs)	combien? combien!
quantum? ou quantum!	combien? combien!
quantus, a, um? ou quantus!	quel? (=de quelle grandeur?); quel!
quare?	pourquoi?
quare	c'est pourquoi/aussi (+ inversion)
quartus, a, um	quatrième
quasi + subj.	comme si
quatere, io, -, quassum	secouer; frapper/ébranler
quattuor (quatuor)	quatre
-que	et
quemadmodum?	comment?
quemadmodum + ind.	comme, de même que
quercus, us, f.	le chêne
querela, ae, f.	la plainte
queri, or, questus sum (déponnent)	déplorer; se plaindre (de: + acc.)
querimonia, ae, f.	la réclamation, les doléances
qui?	comment?
qui, quae, quod	qui; lequel, laquelle
quia + ind.	parce que
quicumque, quaecumque	qui que ce soit qui, quiconque, tous ceux qui
quodcumque	tout ce qui, tout ce que
quid?	pourquoi?
quid?	eh quoi!, de plus
quidam, quaedam	quelqu'un (de déterminé); un certain, un
quiddam/quoddam	quelque chose (de précis), une certaine (chose)
quidem	assurément, certes; du moins
quidni?	pourquoi ne... pas?
quies, quietis, f.	le repos
quiescere, o, quievi, etum	se reposer
quietus, a, um	tranquille, paisible
quilibet, quaelibet	n'importe qui; n'importe quel
quidlibet/quodlibet	n'importe quoi; n'importe quel
quin?	pourquoi ne... pas?
quin	et même
quin + subj.	que, de (après non dubitare et les verbes d'empêchement)
quin + subj. (= ut non consécutif)	de sorte que... ne... pas; sans que
quin etiam	et même
Quinctilis, is, e	(de) juillet
quingentesimus, a, um	cinq centième
quingenti, ae, a	cinq cents
quinquagesimus, a, um	cinquantième
quinquaginta	cinquante
quinque	cinq
quintus, a, um	cinquième
quippe	bien sûr; en effet/oui assurément; le fait est que
quire, eo, qui(v)i, quitum	pouvoir
quis? ou qui?, quae?, quid? et quod?	qui? lequel? quel? (qqf. exclamatif)
quis (qui), qua (quae), quid (quod)	quelqu'un (d'indéterminé); quelque, un (voir aliquis)
quisnam?	qui donc? quel... donc? quoi donc?
quispiam, quaepiam, (neutre) quidpiam ou quodpiam	quelqu'un (d'indéterminé); quelque, un
quisquam	quelqu'un, personne
quidquam (quicquam)	quelque chose, rien
quisque, quaeque, (neutre) quidque et quodque	chacun; chaque
quisquis	qui que ce soit qui, quiconque, tous ceux qui
quidquid (quicquid)	tout ce qui, tout ce que
quivis, quaevis	n'importe qui; n'importe quel
quidvis et quodvis	n'importe quoi, n'importe quel
quo?	où (avec changement de lieu)
quo	où, là où (avec changement de lieu)
quo (génér. suivi d'un comparatif) + subj.	afin que
non quo + subj. ... sed...	non (parce) que..., mais...
quo... eo (+ comparatif)	plus... plus
quoad + ind.	tant que, aussi longtemps que; + ind. ou subj.: jusqu'à ce que
quocumque	partout où (avec changement de lieu)
quod + ind.	1) parce que; + subj.: sous prétexte que; parce qu'à mon (ton, son...) avis<div>2) + ind.: que = ce fait que; à savoir que</div>
quod si + ind. ou subj.	et si; mais si
quominus + subj.	que, de (après les verbes d'empêchement)
quomodo?	comment?
quondam	autrefois, un jour
quoniam + ind.	puisque
quoque	aussi
quot? ou quot!	combien (nombreux)? combien!
quot... tot	autant... autant
quotannis	chaque année
quotidianus, a, um	quotidien (voir aussi cot(t)idianus)
quotidie	chaque jour (voir aussi cot(t)idie)
quoties? ou quoties!	combien de fois? combien de fois!
quousque?	jusqu'à quand?
