uber, eris	fécond; abondant
uber, eris, n.	la mamelle/la fécondité
ubi?	où? (sans changement de lieu)
ubi	où, là où (sans changement de lieu)
ubi + ind.	quand, lorsque, au moment où
ubi primum + ind.	dès que
ubicumque	partout où (sans changement de lieu)
ubique	partout
ulcisci, or, ultus sum (déponnent)	venger; se venger de (+ acc.); punir
ullus, a, um (génitif ullius, datif ulli)	un seul, quelque, aucun
ulterior, ius (comparatif)	qui est au-delà; plus éloigné/de l'autre côté
ultimus, a, um (superlatif d'ulterior)	le plus éloigné, le dernier
ultio, onis, f.	la vengeance
ultra	au-delà
ultra + acc.	au-delà de
ultro	spontanément
umbra, ae, f.	l'ombre
umerus (humerus), i, m.	l'épaule
umor (humor), oris, m.	le liquide (surtout l'eau)
umquam	une seule fois, jamais
una	ensemble
unda, ae, f.	la vague, l'onde/le flot
unde?	d'où
unde	d'où
undecumque	d'où que (l'on vienne)
undique	de toutes parts
unguis, is, m.	l'ongle, la griffe
unicus, a, um	unique
universus, a, um	tout entier; pl. universi, ae, a: tous sans exception/tous ensemble
universi, ae, a (pl. de universus, a, um)	tous sans exception/tous ensemble
unus, a, um (génitif unius, datif uni)	un
unus, a, um (génitif unius, datif uni)	un seul; seul
unus... alter	l'un...l'autre
unusquisque, unaquaeque	chacun; chaque
unumquidque	chaque chose
unumquodque	chaque
urbanus, a, um	de la ville; poli; spirituel/de bonnes manières
urbs, urbis, f.	la ville (importante); Rome
urere, o, ussi, ustum	brûler (qqch.)
urgere, eo, ursi	presser; accabler
usquam	en un seul endroit, quelque part
usque ad + acc.	jusqu'à
usurpare, o, rég.	faire usage de (+ acc.), employer
usus, us, m.	l'usage; le besoin; les relations (avec qqn)
ut? ou ut!	comment? comme!
ut (uti) + ind.	comme, de même que; quand, lorsque
ut (uti) + subj.	que, de + inf.; afin que; de sorte que, si bien que; à savoir que/à supposer que
ut... ita	de même que...de même; si d'une part... d'autre part
uter, utra, utrum (génitif utrius, datif utri) ?	lequel (des deux)?
uterque, utraque, utrumque	l'un et l'autre
uterus, i, m.	le ventre (de la mère)
uti, or, usus sum (déponnent)	se servir de, employer (+ abl.); traiter comme (+ abl.)
utilis, is, e	utile; avantageux
utinam!	plaise (plût) aux dieux que...!
utique	de toute façon, en tout cas; surtout
utrimque	de part et d'autre
utrum (-ne)...an?	est-ce que... ou bien? (int. indir.: si... ou si)
utrum (-ne)... annon (necne)?	est-ce que... ou non?
uva, ae, f.	le raisin; la grappe
uxor, oris, f.	l'épouse, la femme (de qqn)
uxorem ducere	épouser (prendre comme épouse)
