cadere, o, cecidi, casum	tomber
caecus, a, um	qui ne voit pas: aveugle; qu'on ne voit pas: caché/obscur
caedere, o, cecidi, caesum	couper; tuer/abattre; tailler en pièces; battre
caedes, is, f.	le massacre, le meurtre
caelare, o, rég.	ciseler, graver
caelestis, is, e	céleste
caelum, i, n.	le ciel; le climat/l'air
calamitas, atis, f.	le malheur, le fléau
calamus, i, m.	le roseau, le chaume; tout objet fait d'un roseau: instrument à écrire, flûte...
calcare, o, rég.	marcher sur, fouler, piétiner
Calendae/Kalendae, arum, f. pl.	les calendes
calidus, a, um	chaud
callidus, a, um	habile; rusé
calor, oris, m.	la chaleur
campus, i, m.	la plaine/la place
candidus, a, um	d'une blancheur éclatante/clair; radieux
canere, o, cecini, cantum	chanter; jouer d'un instrument
canis, is, m. et f.	le chien, la chienne
cantare, o, rég.	chanter; célébrer; (instruments de musique) retentir; jouer de (+ abl.)
cantus, us, m.	le chant; le son
capax, acis	qui peut contenir, spacieux; capable de (+ gén.)
capere, io, cepi, captum	prendre/subir; contenir
capessere, o, i(v)i, itum	saisir; tendre vers (lieu); entreprendre
capillus, i, m.	le cheveu; la chevelure
captare, o, rég.	chercher à prendre; chercher à surprendre; capter
captivus, a, um	prisonnier
captivus, i, m.	le prisonnier
caput, pitis, n.	la tête
carcer, eris, m.	la prison
carceres, um, m. pl.	les barriières de départ (au cirque)
carere, eo, ui	manquer de (+ abl.)/être exempt de
carina, ae, f.	la carène; (poétique) le navire
caritas, atis, f.	la cherté; l'amour, l'affection
carmen, minis, n.	le chant; le poème; la formule magique/la poésie; l'enchantement
caro, carnis, f.	la chair, la viande
carpere, o, carpsi, carptum	cueillir; jouir de (+ acc.)/arracher, déchirer; harceler, épuiser
carrus, i, m.	le chariot, le fourgon
carus, a, um	cher (coûteux); cher (aimé)
castellum, i, n.	la redoute, le château fort; le repaire; le hameau de montagne
castigare, o, rég.	réprimander; corriger; réprimer, châtier
castra, orum, n. pl.	le camp
castus, a, um	pur, vertueux
casus, us, m.	la chute; le hasard; le malheur
catena, ae, f.	la chaîne; le lien; la série
