bibere, o, bibi	boire
caput, pitis, n.	la tête
celer, eris, ere	rapide
cibus, i, m.	la nourriture
crescere, o, crevi, cretum	croître, grandir
dexter, t(e)ra, t(e)rum	placé à droite, droit
dextera (dextra), ae, f.	la main droite
facies, ei, f.	l'aspect; la figure/la forme
facultas, atis, f.	la possibilité (de faire qqch.)/le talent
facultates, um, f. pl.	les ressources
fames, is, f.	la faim; la famine
impiger, gra, grum	actif, infatigable
integer, gra, grum	intact, entier; intègre
pes, pedis, m.	le pied
salvus, a, um	sain et sauf
sedere, eo, sedi, sessum	être assis/demeurer
sedes, is, f.	le siège (pour s'asseoir); la résidence
sinister, tra, trum	placé à gauche; gauche; fâcheux/sens religieux: de mauvais présage (rite grec); de bon présage (rite étrusque)
species, ei, f.	l'apparence, l'aspect/l'illusion; le prétexte; le bel aspect, l'éclat; le point de vue, l'idée; le type
stare, o, steti, statum	être debout; être immobile/se dresser
tergum, i, n.	le dos
valere, eo, ui	être fort; être bien portant; avoir de l'influence/avoir de la valeur
valetudo, dinis, f.	la santé (bonne ou mauvaise)
validus, a, um	fort; efficace
velox, ocis	rapide, agile
vestigium, ii, n.	l'empreinte des pas; la trace
vultus, us, m.	le visage, la physionomie
