vita, ae, f.	la vie
vivere, o, vixi, victum	vivre
vivus, a, um	vivant
vox, vocis, f.	la voix; la parole/le mot
homo, minis, m.	l'homme, l'être humain
nasci, or, natus sum (déponnent)	naître
natus, i, m. (poétique)	le fils/pl. les petits des animaux
nomen, minis, n.	le nom; le renom
nudus, a, um	nu
cognomen, minis, n.	le surnom
cor, cordis, n.	le coeur
corpus, oris, n.	le corps/l'ensemble
tangere, o, tetigi, tactum	toucher
parere, io, peperi, partum	mettre au monde; produire/engendrer; procurer
pectus, oris, n.	la poitrine; le coeur (sens fig.)/l'âme; l'intelligence
oriri, ior, (oreris), ortus sum (déponnent)	naître; se lever
ortus, us, m.	la naissance; le lever (d'un astre)/l'origine
exsistere (existere), o, stiti	s'élever; naître/se manifester
latus, eris, n.	le côté, le flanc
spiritus, us, m.	le souffle; l'esprit; l'orgueil/l'air; la respiration; (poétique) l'âme
