albus, a, um	blanc
aspicere (adspicere), io, aspexi, aspectum	regarder/examiner; apercevoir
ater, atra, atrum	noir; (poétique) funeste/sombre; (poétique) cruel
auris, is, f.	l'oreille
caecus, a, um	qui ne voit pas: aveugle; qu'on ne voit pas: caché/obscur
conspectus, us, m.	le regard/la vue
conspicere, io, spexi, spectum	apercevoir/remarquer; contempler
esse, sum, fui, futurus	être; appartenir à (+ dat.); être le propre de, être le devoir de (+ gén.)/exister
fieri, fio, factus sum	être fait (fieri sert de passif à facere); devenir
intueri, eor, tuitus sum (déponnent)	regarder attentivement
invidere, eo, vidi, visum	envier (+ dat.)
lingua, ae, f.	la langue (organe et langage)
niger, gra, grum	noir/sombre
oculus, i, m.	l'oeil
os, oris, n.	la bouche; le visage
posse, possum, potui	pouvoir
spectare, o, rég.	regarder; tendre à/considérer; avoir en vue
videre, eo, vidi, visum	voir (que: + prop. inf.); faire en sorte que (ut/ne + subj.)
videri, eor, visus sum (passif de videre)	être vu/sembler, paraître
videtur, visum est	il paraît bon (à qqn de: alicui + inf.)
