aeger, gra, grum	malade
cavere, eo, cavi, cautum	prendre garde à qqn ou qqch. (+ acc.); éviter de (ne + subj.)/veiller sur (+ dat.); veiller à (faire qqch.: ut + subj.)
dolor, oris, m.	la douleur; le chagrin
fessus, a, um	fatigué
funus, eris, n.	les funérailles; la mort/la ruine; (poétique) le cadavre
interire, eo, ii, itum	disparaître; périr
labor, oris, m.	le travail; la peine (qu'on se donne); l'épreuve/la fatigue
laborare, o, rég.	travailler; peiner; être en danger/souffrir
laedere, o, laesi, laesum	blesser; faire tort à (+acc.)
morbus, i, m.	la maladie
mori, ior, mortuus sum (part. fut. moriturus) (déponnent)	mourir
mors, mortis, f.	la mort
niti, or, nisus (nixus) sum (déponnent)	faire effort; s'appuyer sur (+ abl.)
pati, ior, passus sum (déponnent)	souffrir; supporter; permettre (que: + prop. inf.)
perire, eo, ii, itum	être anéanti, périr/ce verbe sert de passif à perdere
remedium, ii, n.	le remède
saucius, a, um	blessé
superesse, sum, fui	être de reste; survivre (à qqn: + dat.; à qqch.: ex + abl.)
tolerare, o, rég.	supporter, endurer/entretenir (maintenir)
vulnus, eris, n.	la blessure
