alii... alii	les uns... les autres
aliter	autrement
alius, a, ud (génitif alterius, datif alii)	un autre; autre (que: ac/atque ou quam)
alter, tera, terum (génitif alterius, datif alteri)	l'un des deux, l'autre (de deux), le second
alter... alter	l'un... l'autre
ego	moi
equidem	quant à moi; assurément
hic, haec, hoc	ce (cet), celui-ci (qui me concerne); celui-ci (qui est tout proche)
idem, eadem, idem	le même (que: ac/atque ou qui)
ille, illa, illud	ce (cet), celui-là (qui le concerne); celui-là (qui est éloigné); cet (homme, etc.) illustre
ipse, ipsa, ipsum	lui en personne, lui-même; lui de son côté
is, ea, id (génitif ejus - eorum)	le... en question; celui-ci, ce (cet); le... (qui...); (par emprunt) il
iste, ista, istud	ce (cet), celui-là (qui te concerne); cet individu-là (en politique ou en justice)
meus, a, um	le mien; mon
nos	nous
noster, tra, trum	le nôtre, notre
se	se, soi, lui; eux, leur
suus, a, um	le sien; son - le leur; leur
tu	toi
tuus, a, um	le tien; ton
vester, tra, trum	le vôtre, votre
vos	vous
