beatus, a, um	heureux (bien-heureux)/comblé de biens
bene	bien
bonus, a, um (comparatif: melior, superlatif: optimus)	bon
dulcis, is, e	doux
felix, icis	heureux (qui a de la chance)/favorable; fécond
forma, ae, f.	la forme; la beauté/le type
humanitas, atis, f.	la nature humaine; la bienveillance; la culture (sens fig.)/la civilisation
humanus, a, um	humain; cultivé/bienveilllant
insignis, is, e	remarquable
jucundus, a, um	agréable
malus, a, um (comparatif pejor, superlatif pessimus)	mauvais; méchant
mollis, is, e	mou; doux/souple; tendre
ornare, o, rég.	équiper; orner
pulcher, chra, chrum	beau
tener, era, erum	tendre/délicat; jeune
