acer, acris, acre	perçant; vif; violent/impétueux
asper, era, erum	âpre; pénible/rugueux; dur
avaritia, ae, f.	la cupidité; (sens rare) l'avarice
avidus, a, um	cupide, avide (de: + gén.)
blandus, a, um	caressant, flatteur
crudelis, is, e	cruel
cupere, io, i(v)i, itum	désirer
cupiditas, atis, f.	le désir; la convoitise/la passion
cupido, dinis, f. (poétique)	le désir (violent), la passion
cupidus, a, um	désireux de (+ gén.)/qui souhaite; qui aime
dolus, i, m.	la ruse
ferox, ocis	fougueux; fier/hardi
gravis, is, e	lourd; pénible; grave/puissant; important
gravitas, atis, f.	la pesanteur; le sérieux; l'importance
improbus, a, um	malhonnête; mauvais/démesuré; sans répit
invidia, ae, f.	la jalousie, l'envie; la haine/la malveillance
invisus, a, um	haï de, odieux à (+ dat.)
levis, is, e	léger
superbia, ae, f.	l'orgueil; l'insolence
superbus, a, um	orgueilleux, fier; insolent/imposant
vehemens, entis	violent; impétueux/fougueux
vitium, ii, n.	le défaut; le vice
