clamor, oris, m.	le cri; les cris/l'acclamation
dolere, eo, ui, itum	souffrir; s'affliger
flere, eo, flevi, fletum	pleurer
furor, oris, m.	la folie (violente)
gaudere, eo, gavisus sum	se réjouir
gaudium, ii, n.	la joie, le contentement
gemere, o, ui, itum	gémir; déplorer
horrere, eo, ui	se hérisser; avoir horreur de (+acc.)/être hérissé; frissonner d'effroi
ira, ae, f.	la colère
iratus, a, um	en colère, irrité (contre: + dat.)
lacrima, ae, f.	la larme
laetitia, ae, f.	la joie, l'allégresse
laetus, a, um	joyeux; (poétique) riche, abondant/d'aspect riant
maestus, a, um	affligé, sombre
metuere, o, ui, utum	craindre, redouter (que: ne/ne non +subj.)
metus, us, m.	la crainte, l'inquiétude
odisse, odi	haïr
odium, ii, n.	l'aversion, la haine
saevire, io, ii, itum	être en fureur/s'acharner avec rage contre (+ dat. ou in + acc.)
saevitia, ae, f.	la fureur; la violence; la rigueur; la cruauté
saevus, a, um	furieux; cruel
trepidare, o, rég.	s'agiter; trembler (de peur)
tristis, is, e	sombre, sinistre; triste
voluptas, atis, f.	le plaisir
