benevolentia, ae, f.	la bienveillance
diligentia, ae, f.	le soin, l'application; le zèle/l'exactitude
diligere, o, lexi, lectum	aimer (par estime)
fructus, us, m.	le fruit; la jouissance (de qqch.)/le revenu
frui, or, fructus sum (déponnent)	jouir, profiter (de: + abl.)
malle, malo, malui	aimer mieux, préférer
nolle, nolo, nolui	ne pas vouloir; (impératif) noli, nolite (+inf.) expriment la défense à la 2ème personne: veuille ne pas...veuillez ne pas...; ne... pas!
optare, o, rég.	souhaiter (que: ut/ne + subj.); choisir
sperare, o, rég.	espérer/s'attendre à
spes, spei, f.	l'espoir
studium, ii, n.	le goût; l'étude; la sympathie (pour qqn)/l'empressement; l'attachement
velle, volo, volui	vouloir
libido, libidinis f.	le désir; la passion
