aequalis, is, e	du même âge; égal
filia, ae, f.	la fille
filius, ii, m.	le fils
frater, tris, m.	le frère
imago, ginis, f.	le portrait; l'image
infans, antis, m. et f.	le (la) jeune enfant
liberi, orum, m. pl.	les enfants (par rapport aux parents)
majores, um, m. pl.	les ancêtres/les anciens
memor, oris	qui se souvient de (+ gén.)
memoria, ae, f.	la mémoire; le souvenir; l'époque
nepos, otis, m.	le petit-fils
posteri, orum m. pl.	les descendants
simulacrum, i, n.	l'image; la statue/le spectre
soror, oris, f.	la soeur
memoria tenere, eo, es, ere, ui, itum (+acc)	garder en mémoire, se souvenir de
