argentum, i, n.	l'argent (métal)
aurum, i, n.	l'or
canis, is, m. et f.	le chien, la chienne
cena, ae, f.	le dîner, le repas principal
cenare, o, rég.	dîner
convivium, ii, n.	le banquet; le repas
desinere, o, desii, situm	cesser (de: + inf.)
excitare, o, rég.	exciter/provoquer; faire lever (qqn)
intrare, o, rég.	entrer
magister, tri, m.	le maître (qui enseigne)
negotium, ii, n.	l'occupation, l'affaire/le travail; le tracas
otium, ii, n.	le loisir; le repos/l'inaction; la retraite des affaires
praeceptum, i, n.	la leçon; le précepte; l'ordre/la règle
proficere, io, feci, fectum	faire des progrès; être utile/avancer
quies, quietis, f.	le repos
quiescere, o, quievi, etum	se reposer
sinere, o, sivi, situm	laisser (faire qqch.), permettre (de ou que: + prop. inf.)
somnus, i, m.	le sommeil
vestis, is, f.	le vêtement, les vêtements; l'étoffe/l'habillement; le tapis
vetare, o, vetui, vetitum	défendre, interdire (à qqn de: prop. inf.)
vinum, i, n.	le vin
