adjuvare, o, juvi, jutum	aider
amare, o, rég.	aimer (par inclination)
amicitia, ae, f.	l'amitié
amicus, a, um	ami
amicus, i, m.	l'ami
amor, oris, m.	l'amour
carus, a, um	cher (coûteux); cher (aimé)
comes, itis, m./f.	le compagnon
conscius, a, um	confident; complice; conscient (de: + gén.)
credere, o, didi, ditum	croire; confier; se fier à (+ dat.)
delectare, o, rég.	charmer/être agréable à, plaire à (+ acc.)
desiderare, o, rég.	regretter l'absence de (+ acc.); qqf., désirer
inimicus, a, um	ennemi
inimicus, i, m.	l'ennemi (personnel)
juvare, o, juvi, jutum	aider; faire plaisir à (+acc.)/être utile
laudare, o, rég.	louer (faire l'éloge de); approuver/vanter
laus, laudis, f.	la louange; la gloire/l'honneur; le mérite
mirari, or, rég. (déponnent)	s'étonner de (+acc.); admirer
mirus, a, um	étonnant; admirable
placere, eo, ui, itum	plaire (à : + dat.)
respicere, io, spexi, spectum	regarder en arrière; prendre en considération/concerner
ridere, eo, risi, risum	rire, sourire
