canere, o, cecini, cantum	chanter; jouer d'un instrument
coepisse, coepi, coeptum	avoir commencé
conari, or, rég. (déponnent)	tenter, s'efforcer (de: + inf.)
conficere, io, feci, fectum	achever/effectuer; épuiser
difficilis, is, e	difficile
efficere, io, feci, fectum	achever; faire en sorte que (ut/ne + subj.)
facere, io, feci, factum	faire (passif: voir fieri)
facile	facilement
facilis, is, e	facile/affable
fingere, o, finxi, fictum	façonner; imaginer
habere, eo, ui, itum	avoir; considérer comme; estimer; [passif haberi: être considéré comme, passer pour]
haberi (passif)	être considéré comme, passer pour
incipere, io, cepi, ceptum	commencer, entreprendre
industria, ae, f.	l'activité
instituere, o, ui, utum	organiser, instituer; entreprendre/former (instruire)
invenire, io, veni, ventum	trouver/découvrir, inventer
opera, ae, f.	l'activité; la peine (qu'on se donne)
opus, eris, n.	l'oeuvre, l'ouvrage/le travail (accompli)
perficere, io, feci, fectum	achever/accomplir
res, rei, f.	la chose; l'affaire/le fait, la réalité; les biens (de qqn); l'avantage
suscipere, io, cepi, ceptum	entreprendre; se charger de; soutenir/accueillir
tentare (temptare), o, rég.	toucher, tenter/tâter; essayer; attaquer
res, rerum, f. pl.	les biens, la fortune
