accusare, o, rég.	accuser
causa, ae, f.	la cause, la raison; le procès/l'affaire judiciaire
causa (abl.; précédé d'un gén.)	en vue de, pour
causam agere	plaider une cause
crimen, minis, n.	l'accusation, le grief/(sens tardifs et poétique) la faute, le méfait
deprehendere, o, di, sum	prendre sur le fait/surprendre
exemplum, i, n.	l'exemple
indicium, ii, n.	la dénonciation; la preuve/l'indice
interesse, sum, fui	être différent; être dans l'intervalle; participer à (+ dat.)
judex, icis, m.	le juge
judicare, o, rég.	juger
judicium, ii, n.	le jugement; le tribunal/le procès
jure	à bon droit
jus, juris, n.	le droit
justitia, justitiae, f.	la justice, l'équité
lex, legis, f.	la loi, la condition (d'un accord)/la règle
testis, is, m.	le témoin
