absolvere, o, solvi, solutum	acquitter/dégager; achever
aequus, a, um	égal; plat; calme; juste/équitable; favorable
contumelia, ae, f.	l'injure, l'affront
culpa, ae, f.	la faute
damnare, o, rég.	condamner (+ abl. ou gén. de la peine)
facinus, oris, n.	l'action d'éclat; le crime
flagitium, ii, n.	le scandale; l'infamie
fraus, fraudis, f.	la fourberie; le crime/le dommage
iniquus, a, um	défavorable; injuste/inégal; qui manque de calme; excessif
injuria, ae, f.	l'injustice; le dommage
injuria	à tort
justus, a, um	juste
poena, ae, f.	la réparation d'un crime; la peine, le châtiment
poenas dare, do, dedi, datum	être puni (donner une compensation pour un méfait)
scelus, eris, n.	le crime/le forfait
violare, o, rég.	maltraiter; enfreindre/outrager
