clarus, a, um	clair; illustre
consul, ulis, m.	le consul
consulatus, us, m.	le consulat
consulere, o, sului, sultum	délibérer (intr.); veiller à ou sur + dat.); consulter (+ acc.)
honestus, a, um	honnête (honorable)
honor (honos), oris, m.	l'honneur; la magistrature/l'estime
magistratus, us, m.	le magistrat; la magistrature
nobilis, is, e	bien connu; noble/illustre
nobilitas, atis, f.	la notoriété; la noblesse
patres (conscripti), trum, m. pl.	les sénateurs/qqf. patres = patricii: les patriciens (classe sociale)
regere, o, rexi, rectum	diriger; gouverner
regius, a, um	royal
regnum, i, n.	la royauté; le royaume/le trône
res publica (respublica), rei publicae (reipublicae), f.	l'Etat, la république; les affaires publiques, la politique
rex, regis, m.	le roi
senator, oris, m.	le sénateur
Senatus, us, m.	le Sénat/le conseil des anciens
senatus consultum (senatusconsultum), i, n.	le sénatus-consulte (décret du Sénat)
