certare, o, rég.	combattre; rivaliser
civis, is, m.	le citoyen; le concitoyen
civitas, atis, f.	la cité (ensemble des citoyens), l'Etat; le droit de cité
eligere, o, elegi, electum	choisir, élire
hortari, or, rég. (déponnent)	exhorter (à: ad + acc.; à faire qqch.: ut/ne + subj.)
ignotus, a, um	inconnu
impedire, io, i(v)i, itum	gêner; empêcher (de ou que: ne, quin ou quominus + subj.)
impellere, o, puli, pulsum	pousser à
incola, ae, m.	l'habitant
liber, bera, berum	libre
liberalis, is, e	digne d'un homme libre; honorable; généreux
libertas, atis, f.	la liberté
minari, or, rég. (déponnent)	menacer (qqn de qqch.: alicui aliquid)
notus, a, um	connu (de: +dat.)
novus, a, um	nouveau
oratio, onis, f.	le discours
orator, oris, m.	l'orateur/le porte-parole
populus, i, m.	le peuple
publice	officiellement; aux frais de l'État
publicus, a, um	officiel, public
