corrumpere, o, rupi, ruptum	détruire; corrompre
damnum, i, n.	le dommage, la perte
dedere, o, dedidi, deditum	livrer
delere, eo, evi, etum	détruire/effacer
diripere, io, ripui, reptum	piller/déchirer
effugere, io, fugi	s'enfuir; échapper à (+ acc.)
expellere, o, puli, pulsum	chasser (qqn d'un lieu), bannir
exstinguere (extinguere), o, stinxi, stinctum	éteindre; détruire/faire disparaître
fuga, ae, f.	la fuite
fugere, io, fugi	fuir, échapper
fundere, o, fudi, fusum	verser, répandre; mettre en déroute
incendere, o, di, sum	enflammer/exciter
insidiae, arum, f. pl.	l'embuscade, le guet-apens
obesse, sum, fui	nuire (à: + dat.)
obsidere, eo, sedi, sessum	assiéger (bloquer)/investir
occupare, o, rég.	prendre avant les autres; devancer; s'emparer de (+ acc.)
opprimere, o, pressi, pressum	écraser; étouffer/tomber sur, surprendre
potiri, ior, potitus sum (déponnent)	s'emparer de (+ abl.)
premere, o, pressi, pressum	presser; accabler/enfoncer
urere, o, ussi, ustum	brûler (qqch.)
vastare, o, rég.	dévaster/rendre désert
