barbarus, a, um	étranger; barbare
caelum, i, n.	le ciel; le climat/l'air
fines, ium, m. (pl. de finis)	les frontières; le territoire/le pays
finis, is, m.	la limite; la fin (voir fines)
lumen, minis, n.	la lumière/(poétique) l'oeil
lux, lucis, f.	la lumière
orbis (terrarum), is, m.	la terre, le monde terrestre
provincia, ae, f.	la province/la charge, le département (d'un magistrat)
sidus, eris, n.	l'astre/la constellation; (poétique) le ciel; le climat; la tempête
sol, solis, m.	le soleil
tellus, uris, f.	la terre
terra, ae, f.	la terre
Roma, ae f.	Rome
Romanus, a, um	romain
Romani, orum m. pl.	les Romains
Gallia, ae f.	la Gaule
Gallus, i m.	le Gaulois
Gallicus, a, um	gaulois
Graecia, ae, f.	la Grèce
Graecus, i m./Graecus, a, um	le Grec/grec
Athena, arum f. pl.	Athènes
Poenus, i, m.	le Carthaginois
Punicus, a, um	punique
Carthago, ginis, f.	Carthage
Carthaginiensis, is, e	carthaginois
