aqua, ae, f.	l'eau
aura, ae, f.	le souffle, la brise
campus, i, m.	la plaine/la place
collis, is, m.	la colline, la hauteur (terrain)
florere, eo, ui	être en fleur; être florissant
frigus, oris, n.	le froid
genus, eris, n.	la race; le genre/l'origine (naissance); l'espèce
humi	à terre
humus, i, f.	le sol, la terre
mons, montis, m.	la montagne, le mont
natura, ae, f.	la nature
ruri (locatif de rus)	à la campagne
rus, ruris, n.	la campagne
silva, ae, f.	la forêt
solum, i, n.	le sol/la base
vallis, is, f.	la vallée/le vallon
ventus, i, m.	le vent
