ager, agri, m.	le champ; le territoire
agricola, ae, m.	le paysan/le cultivateur
animal, alis, n.	l'être vivant; l'animal
arbor, oris, f.	l'arbre
avis, is, f.	l'oiseau
colere, o, colui, cultum	cultiver; soigner; honorer; habiter
fera, ae, f.	la bête sauvage
ferus, a, um	sauvage; cruel/farouche
fons, fontis, m.	la source; la fontaine/l'origine, le principe
fruges, um, f. pl.	les produits de la terre; les moissons/les céréales
frumentum, i, n.	le blé
hortus, i, m.	le jardin
robur, oris, n.	le chêne; la vigueur; l'élite/le bois dur; la solidité
rupes, is, f.	le rocher
saxum, i, n.	la roche
