aedificium, ii, n.	le bâtiment; la ferme
altum, i, n.	la haute mer; la profondeur
altus, a, um	haut; profond
bos, bovis, m. et f.	le boeuf, la vache
fluere, o, xi, fluxum	couler
flumen, minis, n.	le fleuve, la rivière
insula, ae, f.	l'île
iter, itineris, n.	le voyage; le chemin; l'étape/la marche
litus, oris, n.	le rivage
mare, maris, n.	la mer
ora, ae, f.	le bord; le rivage/la contrée
pabulum, i, n.	le fourrage/la nourriture des animaux
pascere, o, pavi, pastum	faire paître; nourrir
pecus, oris, n.	le petit bétail; le bétail/le troupeau
securus, a, um	libre de soucis, sans inquiétude
umbra, ae, f.	l'ombre
via, ae, f.	la route, la rue; le moyen/le chemin, la voie; le voyage; la méthode
villa, ae, f.	la maison de campagne; la ferme
iter facere	(per + acc.) faire route, passer par
