admittere, o, misi, missum	laisser venir; admettre/laisser aller
amittere, o, misi, missum	laisser échapper, perdre
capere, io, cepi, captum	prendre/subir; contenir
committere, o, misi, missum	confier; entreprendre/mettre ensemble, mettre aux prises; commettre la faute de (ut + subj.)
corripere, io, ripui, reptum	s'emparer de (+ acc.), saisir
demittere, o, misi, missum	faire descendre, laisser descendre
dimittere, o, misi, missum	renvoyer; abandonner/envoyer de tous côtés
eripere, io, ripui, reptum	arracher, enlever (à: + dat.)
excipere, io, cepi, ceptum	excepter; recueillir/mettre à part
mittere, o, misi, missum	envoyer; laisser aller/faire partir, licencier; omettre (=omittere)
omittere, o, misi, missum	négliger; omettre/passer sous silence
permittere, o, misi, missum	permettre (de ou que: ut + subj.); confier
promittere, o, misi, missum	promettre
rapere, io, rapui, raptum	voler, ravir/enlever de force, entraîner
recipere, io, cepi, ceptum	reprendre; recevoir/ramener; se charger de
remittere, o, misi, missum	renvoyer; relâcher/abandonner
solvere, o, solvi, solutum	délier; lever l'ancre; payer/désagréger
tollere, o, sustuli, sublatum	soulever; enlever/supprimer
