addere, o, didi, ditum	ajouter/appliquer à
adjicere, io, jeci, jectum	jeter vers; ajouter
aperire, io, perui, pertum	ouvrir; faire connaître
augere, eo, auxi, auctum	augmenter (qqch.)
carere, eo, ui	manquer de (+ abl.)/être exempt de
circumdare, o, dedi, datum	entourer (placer autour)
claudere, o, clausi, clausum	fermer
conjicere, io, jeci, jectum	jeter/conjecturer (avancer comme hypothèse)
consumere, o, sumpsi, sumptum	employer, dépenser, épuiser
convertere, o, ti, sum	tourner; transformer/se changer (en: in + acc.)
custodire, io, i(v)i, itum	garder
minuere, o, ui, utum	diminuer (qqch.)/amoindrir
mutare, o, rég.	changer (qqch.)/échanger; se modifier
objicere, io, jeci, jectum	jeter devant; reprocher/jeter à; opposer
mihi opus est	j'ai besoin de (+ abl.)
possidere, eo, sedi, sessum	posséder
relinquere, o, liqui, lictum	laisser/abandonner
vertere, o, ti, sum	tourner (qqch.); transformer; se tourner/renverser
