accendere, o, di, sum	allumer, enflammer
ardere, eo, arsi, arsum	être en feu, brûler
cadere, o, cecidi, casum	tomber
casus, us, m.	la chute; le hasard; le malheur
cernere, o, crevi, cretum	discerner, voir nettement/décider (voir decernere)
erumpere, o, rupi, ruptum	se précipiter hors de/éclater
forte	par hasard
frangere, o, fregi, fractum	briser/abattre
ignis, is, m.	le feu
incidere, o, cidi	tomber dans, tomber sur; arriver
labi, or, lapsus sum (déponnent)	glisser, tomber; se tromper
occidere, o, cidi, casum	tomber; périr; se coucher (soleil)
ostendere, o, tendi, tentum (tensum)	présenter, montrer/exhiber
perdere, o, didi, ditum	perdre; détruire/le passif de ce verbe est remplacé par perire
periculum, i, n.	le danger, le péril
prospicere, io, spexi, spectum	regarder devant soi; prévoir; veiller à
reperire, io, rep(p)eri, repertum	trouver/retrouver (par recherche); découvrir; imaginer
rumpere, o, rupi, ruptum	briser, rompre
