bis	deux fois
centesimus, a, um	centième
centum	cent
decem	dix
decimus, a, um	dixième
duo, duae, duo	deux
milia,	mille, le millier
milia, ium n. pl.	(+gén) des milliers (de)
mille; pl. milia (millia)	mille; le millier
millesimus, a, um	millième
nonus, a, um	neuvième
novem	neuf
octavus, a, um	huitième
octo	huit
primus, a, um (superlatif)	premier, le premier (de plusieurs)
prior, ius (comparatif)	le premier (de deux)
quartus, a, um	quatrième
quattuor (quatuor)	quatre
quinque	cinq
quintus, a, um	cinquième
secundus, a, um	second, deuxième
septem	sept
septimus, a, um	septième
sex	six
sextus, a, um	sixième
ter	trois fois
tertius, a, um	troisième
tres, tria	trois
una	ensemble
unus, a, um (génitif unius, datif uni)	un
viginti	vingt
