amplus, a, um	vaste; important
inanis, is, e	vide, vain
moles, is, f.	la masse; le fardeau; la difficulté/le môle
multi, ae, a (pl. de multus; comparatif plures, superlatif plurimi)	beaucoup de, nombreux; [quelques fois sens de complures:] plusieurs
multo	beaucoup
multum	beaucoup
numerus, i, m.	le nombre/la catégorie; la mesure (musique), le rythme
pauci, ae, a	peu nombreux, peu de, quelques
pondus, eris, n.	le poids
quot? ou quot!	combien (nombreux)? combien!
summa, ae, f.	l'essentiel; la somme (total)/la partie la plus élevée; l'ensemble
tot	aussi nombreux
tot... quot	aussi nombreux que
vacuus, a, um	vide; libre de (+ abl. avec ou sans ab)/débarrassé de
tot... ut (nég. ut non)	(+subj.) si nombreux... que
tam multi, ae, a... ut (nég. ut non)	(+subj.) si nombreux... que
