ingens, entis	énorme, immense
late	au large, au loin
latus, a, um	large/étendu
longe	loin, au loin; de beaucoup (+superlatif ou comparatif)
longus, a, um	long
magnus, a, um (comparatif major, superlatif maximus)	grand
maxime	très; le plus; surtout
parvus, a, um (comparatif minor, superlatif minimus)	petit
plenus, a, um	plein (de: + gén. ou abl.)
summus, a, um (superlatif)	très grand; le plus haut
summus mons	le sommet de la montagne
talis, is, e	tel
talis... qualis	(+ind.) tel que (comparatif)
tam	tellement, tant, si
tam... quam	autant que
tantum	tant, autant; seulement
tantum... quantum	autant que
tantus, a, um	aussi grand, si grand
tantus... quantus	aussi grand que
tantus... ut (nég. ut non)	(+subj.) si grand... que
tantum... ut (nég. ut non)	(+subj.) tellement... que
tam... ut (nég. ut non)	(+subj.) si... que, tellement... que
talis... ut (nég. ut non)	(+subj.) tel... que
