aetas, atis, f.	la vie; l'âge; l'époque
agere vitam	passer sa vie
antiquus, a, um	ancien (d'autrefois)
exspectare (expectare), o, rég.	attendre
initium, ii, n.	le commencement
mora, ae, f.	le retard, le délai
morari, or, rég. (déponnent)	s'attarder; retarder (trans.)/s'arrêter; arrêter
nox, noctis, f.	la nuit
posterior, ius (comparatif de posterus)	le dernier (de deux)
posterus, a, um	suivant, qui vient après
postremus, a, um (superlatif de posterus)	le dernier (de plusieurs)
principium, ii, n.	le commencement
recens, entis	frais; récent
vetus, eris	vieux, ancien
superior, ior, ius	supérieur; précédent
