annus, i, m.	l'année
brevis, is, e	court, bref
dies, diei, m. ou f.	le jour
diu (comparatif diutius, superlatif diutissime)	longtemps
hiems, hiemis, f.	l'hiver; le mauvais temps
hodie	aujourd'hui
hora, ae, f.	l'heure
quam primum	le plus tôt possible, au plus tôt
rursus (rursum)	de nouveau; en revanche/à son tour
statim	aussitôt
tempestas, atis, f.	le temps qu'il fait; la tempête; l'époque
tempus, oris, n.	le temps; l'époque; la circonstance
umquam	une seule fois, jamais
in dies	de jour en jour
neque umquam	et... ne... jamais
