adhuc	jusqu'à présent, encore
aliquando	un jour, une fois
ante	avant; (sens local) devant
brevi	en peu de temps; bientôt/brièvement
cottidie (cotidie)	chaque jour
interea	pendant ce temps
modo	il y a un instant; seulement/à l'instant
nuper	récemment, naguère
olim	autrefois, un jour
plerumque	le plus souvent/d'ordinaire
post	après; (sens local) derrière
postremo	en dernier lieu, enfin
primum	en premier lieu, d'abord/pour la première fois
prius	auparavant
quondam	autrefois, un jour
quotidie	chaque jour (voir aussi cot(t)idie)
repente	soudain, tout à coup
