galea, ae, f.	le casque
Gallia, ae f.	la Gaule
Gallus, i m.	le Gaulois
Gallicus, a, um	gaulois
gaudere, eo, gavisus sum	se réjouir
gaudium, ii, n.	la joie, le contentement
gelidus, a, um	glacé; frais
gemere, o, ui, itum	gémir; déplorer
geminus, a, um	jumeau, double
gemitus, us, m.	le gémissement, les gémissements
gemma, ae, f.	la pierre précieuse; la beauté; le bourgeon
gener, eri, m.	le gendre
genitor, oris, m.	le père; le fondateur
genius, ii, m.	le génie (dieu protecteur)
gens, gentis, f.	la race; le peuple; la grande famille (à plusieurs branches)
genu, us, n.	le genou
genus, eris, n.	la race; le genre/l'origine (naissance); l'espèce
gerere, o, gessi, gestum	porter; faire; diriger/accomplir
bellum gerere	(cum + abl.) faire la guerre (à/contre)
gestare, o, rég.	porter çà et là, promener; transporter; porter (habituellement)
gignere, o, genui, genitum	engendrer; produire/créer
gladiator, oris, m.	le gladiateur
gladius, ii, m.	l'épée
gloria, ae, f.	la gloire
gloriari, or, rég. (déponnent)	se vanter, se glorifier
gradi, ior, gressus sum (déponnent)	marcher/s'avancer
gradus, us, m.	le pas; le degré; le rang/la marche (d'escalier)
Graecia, ae, f.	la Grèce
Graecus, i m./Graecus, a, um	le Grec/grec
grandis, is, e	grand, imposant
gratia, ae, f.	la reconnaissance; la faveur; l'influence/le crédit; la grâce
gratia (précédé d'un génitif)	en vue de, pour
gratias agere	adresser des remerciements, remercier (+ dat.)
gratiosus, a, um	obligeant
gratulari, or, rég. (déponnent)	féliciter (qqn de qqch.: alicui de aliqua re)
gratulatio, onis, f.	les félicitations; les actions de grâces (remerciements aux dieux)
gratus, a, um	agréable (à: +dat.); reconnaissant (envers: in ou erga + acc.)
gravis, is, e	lourd; pénible; grave/puissant; important
gravitas, atis, f.	la pesanteur; le sérieux; l'importance
grex, gregis, m.	le troupeau/la troupe
gubernare, o, rég.	piloter; gouverner
gubernator, oris, m.	le pilote
gurges, itis, m.	le gouffre; l'eau profonde
