maerere, eo	être affligé; déplorer
maeror, oris, m.	l'affliction, la tristesse profonde
maestus, a, um	affligé, sombre
magis	plus, davantage
magister, tri, m.	le maître (qui enseigne)
magistratus, us, m.	le magistrat; la magistrature
magni facere	estimer beaucoup
magnificus, a, um	fastueux, généreux; grandiose
magnitudo, dinis, f.	la grandeur
magno opere/magnopere	grandement, beaucoup
magnus, a, um (comparatif major, superlatif maximus)	grand
Maius, a, um	(de) mai
majestas, atis, f.	la grandeur; la majesté
major natu	l'aîné, l'aînée (de deux frères ou de deux soeurs)
majores, um, m. pl.	les ancêtres/les anciens
maledictum, i, n.	l'injure, l'outrage
malle, malo, malui	aimer mieux, préférer
malus, a, um (comparatif pejor, superlatif pessimus)	mauvais; méchant
manare, o, rég.	couleur, se répandre; découler
mancipium, ii, n.	le droit de propriété; la propriété; l'esclave
mandare, o, rég.	confier; charger (qqn. de: alicui ut+subj.)/recommander
mandatum, i, n.	la mission, la charge; les instructions
mane	au matin, le matin
manere, eo, mansi, mansum	rester, demeurer/attendre
Manes (manes), ium, m. pl.	les âmes des morts, les mânes; le séjour des mânes, les enfers; le cadavre
manifestus, a, um	évident; pris sur le fait, convaincu de (+ gén.)
manipulus, i, m.	le manipule, tiers d'une cohorte
manus, us, f.	la main; la troupe/le groupe
manus conserere, o, serui, sertum	en venir aux mains
mare, maris, n.	la mer
maritimus, a, um	marin, maritime
maritus, i, m.	le mari
marmor, oris, n.	le marbre
Martius, a, um	(de) mars
mater, tris, f.	la mère
materia, ae, f.	le bois de construction; la matière
materies, ei, f.	le bois de construction; la matière
matrimonium, ii, n.	le mariage
maturare, o, rég.	hâter, se hâter/faire mûrir
maturus, a, um	mûr, précoce
maxime	très; le plus; surtout
medicus, i, m.	le médecin
mediocris, is, e	qui tient le juste milieu; moyen; ordinaire
meditari, or, rég. (déponnent)	réfléchir à (+acc.); s'exercer à (+ acc.)/préparer
medius, a, um	qui est au milieu, le milieu de/central; intermédiaire
mel, mellis, n.	le miel/(poétique) la douceur, le charme
membrum, i, n.	le membre
meminisse, memini	se souvenir de, se rappeler (+gén. ou acc.)
memor, oris	qui se souvient de (+ gén.)
memorare, o, rég.	rappeler (à autrui); raconter
memoria, ae, f.	la mémoire; le souvenir; l'époque
memoria tenere, eo, es, ere, ui, itum (+acc)	garder en mémoire, se souvenir de
mens, mentis, f.	l'intelligence; l'esprit/la pensée; la disposition d'esprit
mensa, ae, f.	la table
mensis, is, m.	le mois
mentio, onis, f.	la proposition; la mention
mentiri, ior, titus sum (déponnent)	mentir
mercator, oris, m.	le marchand
merces, edis, f.	le salaire; la récompense/le revenu
merces, ium, f. pl.	la marchandise
merere, eo, ui, itum	mériter; gagner (un salaire); être soldat
mereri, eor, itus sum (déponnent)	mériter; gagner (un salaire); être soldat
bene mereri de (+abl)	se bien comporter à l'égard de; rendre service à
mergere, o, mersi, mersum	plonger (qqch.)/enfoncer; précipiter dans
meridies, ei, m.	le milieu du jour, midi; le midi, le sud
merito	à juste titre
meritum, i, n.	le service rendu; l'action (bonne ou mauvaise) qui fait mériter qqch.
merum, i, n.	le vin pur
merx, mercis, f.	la marchandise
messis, is, f.	la moisson
metiri, ior, mensus sum (déponnent)	mesurer; (poétique) parcourir
metuere, o, ui, utum	craindre, redouter (que: ne/ne non +subj.)
metus, us, m.	la crainte, l'inquiétude
meus, a, um	le mien; mon
micare, o, ui	s'agiter, palpiter; (poétique) scintiller, briller
miles, itis, m.	le soldat
milia,	mille, le millier
milia, ium n. pl.	(+gén) des milliers (de)
militaris, is, e	qui concerne la guerre; militaire
militia, ae, f.	le service militaire/la campagne (guerre)
mille; pl. milia (millia)	mille; le millier
millesimus, a, um	millième
minae, arum, f., pl.	les menaces
minari, or, rég. (déponnent)	menacer (qqn de qqch.: alicui aliquid)
minax, acis	menaçant
minime	très peu; le moins; ne... pas du tout
minimum	très peu (de); le moins (de)
minimus	petit
minister, tri, m.	le serviteur
ministrare, o, rég.	servir; présenter, fournir
minitari, or, rég. (déponnent)	menacer
minor	petit
minuere, o, ui, utum	diminuer (qqch.)/amoindrir
minus	moins
minutus, a, um	menu, petit
mirabilis, is, e	étonnant; admirable
mirari, or, rég. (déponnent)	s'étonner de (+acc.); admirer
mirificus, a, um	étonnant; prodigieux
mirus, a, um	étonnant; admirable
miscere, eo, miscui, mixtum	mêler; bouleverser
miser, sera, serum	malheureux
miserari, or, rég. (déponnent)	déplorer; plaindre (+acc.)
