nam	en effet, car/par exemple
namque	le fait est que, car
nancisci, or, nactus sum (déponnent)	trouver, rencontrer
narrare, o, rég.	raconter
nasci, or, natus sum (déponnent)	naître
natalis, is, e	de la naissance, natal
natare, o, rég.	nager, flotter; être inondé
natio, onis, f.	la peuplade, la nation
natu	par l'âge, en âge
natura, ae, f.	la nature
natus, i, m. (poétique)	le fils/pl. les petits des animaux
nauta, ae, m.	le matelot, le marin
navigare, o, rég.	naviguer
navigium, ii, n.	le navire, le vaisseau
navis, is, f.	le bateau, le navire
navis longa	le bateau de guerre
navis oneraria	le bateau de transport
ne	assurément
ne !	ne... pas!
ne... quidem	ne... pas même; ne... pas non plus
ne + subj.	que...ne...pas, de ne pas; afin que...ne...pas
-ne?	est-ce que?
nec (neque)	et ne...pas, ni
necare, o, rég.	tuer
necessarius, a, um	inévitable; indispensable
necessarius, ii, m.	l'ami intime; le parent/le familier
necesse est	il faut; il est inévitable que
necessitas, atis, f.	le caractère inévitable, la nécessité; le besoin impérieux
necessitudo, dinis, f.	le lien étroit avec qqn (amitié, parenté, etc.)
necne?	est-ce que... ou bien (int. indir.: si... ou si)
nectere, o, nex(u)li, nexum	attacher, nouer; tresser
nedum	à plus forte raison ne... pas; bien loin de
nefandum, i, n.	(poétique) le mal, le crime
nefarius, a, um	abominable; criminel
nefas est (indéclinable)	il est interdit (par les dieux)
negare, o, rég.	affirmer que... ne... pas, nier (que + prop. inf.)/dire non, refuser (de donner)
neglegere, o, lexi, lectum	négliger
negotium, ii, n.	l'occupation, l'affaire/le travail; le tracas
nemo	personne ne...
nempe	c'est un fait, n'est-ce pas? que; évidemment, bien sûr
nemus, oris, n.	le bois; le bois sacré
nepos, otis, m.	le petit-fils
nepotes, um, m. pl. (poétique)	les descendants
nequaquam	nullement
neque (nec)	et ne... pas, ni
neque... neque	ne... pas... et ne... pas, ni... ni
nequicquam (nequiquam)	inutilement, sans raison
nequire, eo, i(v)i, itum	ne pas pouvoir
nequitia, ae, f.	la paresse; la dépravation/l'indolence
nervus, i, m.	le tendon; la vigueur/le ligament; la corde
nescire, io, sci(v)i, scitum	ne pas savoir, ignorer
nescius, a, um	qui ne sait pas, ignorant (+ gén.); non su, inconnu (sens plus rare)
neve +sub. (neu)	et que... ne... pas, et de ne pas; et afin que... ne... pas
neuter, tra, trum (gén. neutrius, dat. neutri)	ni l'un ni l'autre
nex, necis, f.	la mort violente, le meurtre
niger, gra, grum	noir/sombre
nihil	(ne)... en rien, nullement
nihil	rien ne..., ne... rien
nihilominus	ne... pas moins, néanmoins
nimis (nimium)	trop
nimius, a, um	trop grand, excessif
nisi	excepté, si ce n'est
nihil aliud nisi	ne... rien d'autre que
nisi (ni) sub. + ind. ou subj.	si... ne... pas; à moins que
nitere, eo, ui	luire, briller
niti, or, nisus (nixus) sum (déponnent)	faire effort; s'appuyer sur (+ abl.)
nitidus, a, um	brillant; florissant; élégant; (poétique) fertile, riche
nix, nivis, f.	la neige
nobilis, is, e	bien connu; noble/illustre
nobilitas, atis, f.	la notoriété; la noblesse
nocere, eo, ui, itum	nuire (à: + dat.)
noctu (nocte)	de nuit
nocturnus, a, um	nocturne
nodus, i, m.	le noeud, la difficulté
nolle, nolo, nolui	ne pas vouloir; (impératif) noli, nolite (+inf.) expriment la défense à la 2ème personne: veuille ne pas...veuillez ne pas...; ne... pas!
noli, nolite (+inf.)	veuille ne pas...veuillez ne pas...; ne... pas!
nomen, minis, n.	le nom; le renom
nominare, o, rég.	nommer
non	ne... pas, non
non jam	ne... plus
non quo + subj. ..., sed...	non (parce) que..., mais...
Nonae, arum, f. pl.	les nones
nondum	ne... pas encore
nonne	est-ce que... ne... pas? n'est-il pas vrai que? (réponse prévue: oui)
nonnulli, ae, a	quelques-uns; quelques
nonnumquam	quelque-fois
nonus, a, um	neuvième
nos	nous
noscere, o, novi, notum	apprendre à connaître; (parfait) novisse: connaître, savoir (avoir appris)
novisse	connaître, savoir (avoir appris)
noster, tra, trum	le nôtre, notre
nostri, orum m. pl.	les proches(parents)
nota, ae, f.	la marque, le signe; l'étiquette, la qualité; l'annotation, le blâme; la honte
notitia, ae, f.	la notion; la connaissance
notus, a, um	connu (de: +dat.)
novem	neuf
November, bris, bre	(de) novembre
noverca, ae, f.	la belle-mère; la marâtre
novissimum agmen	l'arrière-garde
novitas, atis, f.	la nouveauté, l'étrangeté
novus, a, um	nouveau
nox, noctis, f.	la nuit
nubere, o, nupsi, nuptum	épouser (prendre comme mari +dat.)
nubes, is, f.	le nuage; le voile
nudare, o, rég.	dépouiller, dégarnir (de: +abl.)
nudus, a, um	nu
nulli (ae, a) non	tous, tout le monde
nullus, a, um (gén. nullius, dat. nulli)	aucun (...) ne, ne... aucun
num?	est-ce que par hasard? (réponse prévue: non)/ [dans une interrogative indirecte, num ou ne- traduitent par : si (d'interrogation)]
numen, minis, n.	la volonté divine; la puissance divine; la divinité
numerare, o, rég.	compter; payer; mettre au nombre de, regarder comme
numerus, i, m.	le nombre/la catégorie; la mesure (musique), le rythme
nummus, i, m.	la pièce de monnaie; le sesterce, pièce romaine
sestertius, ii, m.	le sesterce, pièce romaine
numquam (nunquam)	ne... jamais
numquid?	est-ce que (en qqch.)?
nunc	maintenant
nunc... nunc	tantôt...tantôt
nuntiare, o, rég.	annoncer
nuntius, ii, m.	le messager; la nouvelle/le message
nuper	récemment, naguère
nuptiae, arum, f. pl.	les noces
nurus, us, f.	la belle-fille, la bru; (poét.) la jeune femme
nusquam	nulle part... ne
