ob + acc.	devant; à cause de
obesse, sum, fui	nuire (à: + dat.)
obire, eo, ii, itum	aller au-devant de (+ acc.)/se charger de; parcourir
obire mortem	mourir
objicere, io, jeci, jectum	jeter devant; reprocher/jeter à; opposer
obligare, o, rég.	attacher, bander, lier
oblivio, onis, f.	l'oubli
oblivisci, or, oblitus sum (déponnent)	oublier (+ gén. ou acc.)
obnoxius, a, um	soumis à, dépendant de; coupable de; exposé à&nbsp;
oboedire, io, i(v)i, itum	obéir
obruere, o, rui, rutum	recouvrir; écraser/enfouir; étouffer
obscurus, a, um	obscur
obsecrare, o, rég.	supplier (de: ut/ne + subj.)
obsequium, ii, n.	la complaisance, la déférence, l'obéissance
observare, o, rég.	observer, surveiller; se conformer à, respecter
obses, idis, m. et f.	l'otage
obsidere, eo, sedi, sessum	assiéger (bloquer)/investir
obsidio, onis, f.	le siège (blocus)
obsistere, o, stiti	faire obstacle (à: + dat.); empêcher (de ou que: ne, quin ou quominus + subj.)/se placer devant, résister à (+ dat.)
obstare, o, stiti	faire obstacle (à: + dat.); empêcher (de ou que: ne, quin ou quominus + subj.)
obtemperare, o, rég.	se conformer à, obéir à (+ dat.)
obtestari, or, rég. (déponnent)	prendre à témoin; supplier (de: ut/ne + subj.)
obtinere, eo, tinui, tentum	avoir en sa possession; maintenir/conserver
obviam	à la rencontre de
obvius, a, um	qui se trouve sur le passage/qui est sous la main; facile
occasio, onis, f.	le moment favorable, l'occasion
occasus, us, m.	la chute
occidere, o, cidi, casum	tomber; périr; se coucher (soleil)
occidere, o, cidi, cisum	tuer/abattre
occultare, o, rég.	cacher
occultus, a, um	caché, secret
occupare, o, rég.	prendre avant les autres; devancer; s'emparer de (+ acc.)
occurrere, o, curri, cursum	aller à la rencontre de (+ dat.); s'opposer à (+ dat.); venir à l'esprit/se présenter
octavus, a, um	huitième
octo	huit
October, bris, bre	(de) octobre
oculus, i, m.	l'oeil
odiosus, a, um	odieux, désagréable
odisse, odi	haïr
odium, ii, n.	l'aversion, la haine
odor, oris, m.	l'odeur
offendere, o, di, sum	heurter, choquer/se heurter (à: + dat.); échouer
offensio, onis, f.	le fait de choquer, l'offense; le fait de se heurter, l'échec
offerre, fero, obtuli, oblatum	présenter, offrir
officia, orum, n. pl.	les services rendus
officium, ii, n.	le devoir (moral); les fonctions/la charge; le service; l'obligeance
olere, eo, ui	sentir (exhaler une odeur)
oleum, i, n.	l'huile
olim	autrefois, un jour
omen, minis, n.	le présage
omittere, o, misi, missum	négliger; omettre/passer sous silence
omnino	complètement, tout à fait/en général
omnis, is, e	tout; chaque/toute sorte de
onerare, o, rég.	charger
onus, eris, n.	le fardeau, la charge
opera, ae, f.	l'activité; la peine (qu'on se donne)
operire, io, perui, pertum	couvrir; fermer
opes, opum, f. (pluriel de ops)	les richesses, les ressources; la puissance/les moyens
opinari, or, rég. (déponnent)	croire (que: + prop. inf.)/avoir dans l'idée que
opinio, onis, f.	l'opinion, la croyance/la réputation
oportet, tuit	il faut
opperiri, ior, pertus sum (déponnent)	attendre
oppidani, orum, m. pl.	les habitants (d'une ville)
oppidum, i, n.	la place forte; la ville/le chef-lieu
opponere, o, posui, situm	placer devant, exposer; opposer
opportunus, a, um	avantageux/convenable
opprimere, o, pressi, pressum	écraser; étouffer/tomber sur, surprendre
oppugnare, o, rég.	attaquer/battre en brèche
oppugnatio, onis, f.	le siège (actif); l'assaut
(ops), opis, f.	le pouvoir; l'aide/la force (disponible); le secours
optare, o, rég.	souhaiter (que: ut/ne + subj.); choisir
optimates, ium (um), m. pl.	les aristocrates, les conservateurs (parti du Sénat)
opulentus, a, um	riche
opus, eris, n.	l'oeuvre, l'ouvrage/le travail (accompli)
mihi opus est	j'ai besoin de (+ abl.)
ora, ae, f.	le bord; le rivage/la contrée
orare, o, rég.	prier, supplier (de faire qqch.: ut/ne + subj.)/plaider
oratio, onis, f.	le discours
orator, oris, m.	l'orateur/le porte-parole
orbis, is, m.	le cercle; le disque
orbis (terrarum), is, m.	la terre, le monde terrestre
ordiri, ior, orsus sum (déponnent)	commencer; commencer à parler
ordo, dinis, m.	le rang, l'ordre; la classe/la succession
origo, ginis, f.	l'origine/la provenance
oriri, ior, (oreris), ortus sum (déponnent)	naître; se lever
ornamentum, i, n.	l'équipement; la parure; l'honneur
ornare, o, rég.	équiper; orner
ornatus, a, um	équipé; élégant, distingué
ortus, us, m.	la naissance; le lever (d'un astre)/l'origine
os, oris, n.	la bouche; le visage
os, ossis, n.	l'os
osculari, or, rég. (déponnent)	donner un baiser à (+ acc.); caresser
osculum, i, n.	la petite bouche; le baiser
ostendere, o, tendi, tentum (tensum)	présenter, montrer/exhiber
ostentare, o, rég.	présenter avec insistance/faire étalage de (+ acc.)
otiosus, a, um	qui a du loisir; tranquille; oisif
otium, ii, n.	le loisir; le repos/l'inaction; la retraite des affaires
ovis, is, f.	la brebis
