rabies, f.	la rage; la fureur
radius, ii, m.	le rayon/la baguette
radix, dicis, f.	la racine
ramus, i, m.	la branche, le rameau
rapere, io, rapui, raptum	voler, ravir/enlever de force, entraîner
rapidus, a, um	qui emporte tout; impétueux/prompt
rapinae, arum, f. pl.	le pillage; les rapines
raptim	à la hâte
raro	rarement
rarus, a, um	rare, clairsemé
ratio, onis, f.	le compte; la raison; le raisonnement; la manière/le motif; la théorie, le plan, la méthode, le moyen
ratis, is, f.	le radeau; le bateau
ratus, a, um (participe de reri)	pensant que, persuadé que (+ prop. inf.)
recedere, o, cessi, cessum	se retirer/battre en retraite
recens, entis	frais; récent
receptui canere, o, cecini, cantum	sonner la retraite
recipere, io, cepi, ceptum	reprendre; recevoir/ramener; se charger de
se recipere	se retirer
recitare, o, rég.	lire à haute voix
recludere, o, clusi, clusum	ouvrir
recordari, or, rég. (déponnent)	se rappeler (qqch. ou qqn. : + acc. ou de + abl.)
recreare, o, rég.	réconforter, ranimer
rector, oris, m.	le guide; le chef, le maître; le gouverneur
rectus, a, um	droit; correct
recuperare, o, rég.	reprendre, recouvrer
recusare, o, rég.	refuser/rejeter
reddere, o, didi, ditum	rendre
redigere, o, egi, actum	ramener; réduire (à un état inférieur)/faire rentrer
redimere, o, emi, emptum	racheter; délivrer
redire, eo, ii, itum	revenir
reditus, us, m.	le retour
reducere, o, duxi, ductum	ramener
redundare, o, rég.	être inondé de, rejaillir sur; être surabondant; regorger de (+ abl.)
referre, fero, ret(t)uli, relatum	reporter; rapporter
pedem referre	reculer
refert, retulit	il importe (à qqn: + gén.; à qqch.: ad + acc.)
mea refert	il m'importe
refertus, a, um	rempli de (+ abl. ou gén.)
reficere, io, feci, fectum	réparer; réconforter
refugere, io, fugi	s'enfuir; se réfugier; s'écarter de
regere, o, rexi, rectum	diriger; gouverner
regia, ae, f.	le palais royal
regina, ae, f.	la reine
regio, onis, f.	la région/la direction (géographique); la ligne; la zone
regius, a, um	royal
regnare, o, rég.	régner
regnum, i, n.	la royauté; le royaume/le trône
regula, ae, f.	la règle
rejicere, io, jeci, jectum	rejeter; renvoyer
religio, onis, f.	le sentiment religieux; le culte; le scrupule/la piété; la religion
relinquere, o, liqui, lictum	laisser/abandonner
reliquiae, arum, f. pl.	les restes
reliquus, a, um	(qui est) de reste/qui reste
reliqui, ae, a (pluriel de reliquus, a, um)	(tous) les autres
remanere, eo, mansi, mansum	subsister; séjourner
remedium, ii, n.	le remède
remex, migis, m.	le rameur
remittere, o, misi, missum	renvoyer; relâcher/abandonner
removere, eo, movi, motum	éloigner, écarter
remus, i, m.	la rame
renovare, o, rég.	renouveler; recommencer
renuntiare, o, rég.	annoncer, déclarer/rapporter que (+ prop. inf.); annoncer en contre-ordre
repellere, o, rep(p)uli, pulsum	écarter; repousser
repente	soudain, tout à coup
repentinus, a, um	subit; imprévu
reperire, io, rep(p)eri, repertum	trouver/retrouver (par recherche); découvrir; imaginer
repetere, o, i(v)i, itum	regagner (un lieu); réclamer (surtout en justice); répéter/retourner chercher
reponere, o, posui, situm	replacer, rétablir; faire reposer sur; mettre en réserve, déposer
reprehendere, o, di, sum	blâmer/retenir, arrêter
reprimere, o, pressi, pressum	refouler; réprimer
repudiare, o, rég.	repousser, rejeter
repugnare, o, rég.	résister à; être incompatible avec (+ dat.)
requies, etis, f.	le repos
requirere, o, quisivi, situm	rechercher; réclamer; regretter (l'absence de)
reri, reor, ratus sum (déponnent)	estimer, penser (que: + prop. inf.), croire
rerum scriptor, oris, m.	l'historien
res, rei, f.	la chose; l'affaire/le fait, la réalité; les biens (de qqn); l'avantage
res, rerum, f. pl.	les biens, la fortune
in rem esse	être utile
res gestae, rerum gestarum, f. pl.	les exploits; l'histoire
res publica (respublica), rei publicae (reipublicae), f.	l'Etat, la république; les affaires publiques, la politique
residere, eo, sedi, sessum	séjourner, rester
residere, o, sedi, sessum	s'asseoir; s'établir; s'affaisser; se calmer
resistere, o, stiti	s'arrêter; résister (à: + dat.)
resolvere, o, solvi, solutum	dénouer; ouvrir; résoudre
respicere, io, spexi, spectum	regarder en arrière; prendre en considération/concerner
respondere, eo, spondi, sponsum	répondre
responsum, i, n.	la réponse
restare, o, stiti	rester; résister (voir resistere)
restituere, o, ui, utum	rétablir; rendre
rete, retis, n.	le filet
retinere, eo, tinui, tentum	retenir, garder; arrêter
retro	en arrière
reus, i, m.	l'accusé
revellere, o, velli, vulsum	arracher/détruire
reverberare, o, rég.	repousser un coup; refouler; réfléchir (la lumière)
revertere, o, ti, sum/reverti, or, versus sum (déponnent)	revenir
revocare, o, rég.	rappeler; rétablir/ramener en arrière
rex, regis, m.	le roi
ridere, eo, risi, risum	rire, sourire
rigere, eo	être raide, être durci
ripa, ae, f.	la rive
rite	selon les rites; convenablement
rivus, i, m.	le ruisseau
robur, oris, n.	le chêne; la vigueur; l'élite/le bois dur; la solidité
rogare, o, rég.	interroger; demander (à qqn de: aliquem ut + subj.)
rogatio, onis, f.	la demande; le projet de loi
rogitare, o, rég.	demander avec insistance
rogus, i, m.	le bûcher funèbre
Roma, ae f.	Rome
Romanus, a, um	romain
Romani, orum m. pl.	les Romains
ros, roris, m.	la rosée; tout liquide qui tombe goutte à goutte (par ex. les larmes)
rostra, orum, n. (pluriel de rostrum)	les rostres = la tribune aux harangues (sur le Forum romain)
rostrum, i, n.	le bec; le museau; l'éperon d'un navire de guerre
rota, ae, f.	la roue
ruber, bra, brum	rouge
rudis, is, e	non dégrossi; inculte; ignorant (+ gén. ou in + abl.)/brut
ruere, o, ruri, rutum	s'élancer; s'écrouler; (trans.) renverser/précipiter
ruina, ae, f.	l'écroulement; le désastre
ruinae (pluriel de ruina, ae, f.)	les ruines
rumor, oris, m.	les bruits qui courent, la rumeur
rumpere, o, rupi, ruptum	briser, rompre
rupes, is, f.	le rocher
ruri (locatif de rus)	à la campagne
rursus (rursum)	de nouveau; en revanche/à son tour
rus, ruris, n.	la campagne
rusticus, a, um	de la campagne, rural; rustre/naïf, balourd
